Design, Synthesis, and Functional Evaluation of 1, 5-Disubstituted Tetrazoles as Monoamine Neurotransmitter Reuptake Inhibitors	2022	Biomol Ther (Seoul). 2022 Mar 1;30(2):191-202. doi: 10.4062/biomolther.2021.119.	https://pubmed.ncbi.nlm.nih.gov/34789584/	Tetrazoles were designed and synthesized as potential inhibitors of triple monoamine neurotransmitters (dopamine, norepinephrine, serotonin) reuptake based on the functional and docking simulation of compound 6 which were performed in a previous study. The compound structure consisted of a tetrazole-linker (n)-piperidine/piperazine-spacer (m)-phenyl ring, with tetrazole attached to two phenyl rings (R1 and R2). Altering the carbon number in the linker (n) from 3 to 4 and in the spacer (m) from 0 to 1 increased the potency of serotonin reuptake inhibition. Depending on the nature of piperidine/piperazine, the substituents at R1 and R2 exerted various effects in determining their inhibitory effects on monoamine reuptake. Docking study showed that the selectivity of tetrazole for different transporters was determined based on multiple interactions with various residues on transporters, including hydrophobic residues on transmembrane domains 1, 3, 6, and 8. Co-expression of dopamine transporter, which lowers dopamine concentration in the biophase by uptaking dopamine into the cells, inhibited the dopamine-induced endoctytosis of dopamine D2 receptor. When tested for compound 40 and 56, compound 40 which has more potent inhibitory activity on dopamine reuptake more strongly disinhibited the inhibitory activity of dopamine transporter on the endocytosis of dopamine D2 receptor. Overall, we identified candidate inhibitors of triple monoamine neurotransmitter reuptake and provided a theoretical background for identifying such neurotransmitter modifiers for developing novel therapeutic agents of various neuropsychiatric disorders.
Deciphering the role of T-type calcium channels in regulating adult hippocampal neurogenesis	2021	Acta Physiol (Oxf). 2021 May;232(1):e13643.  doi: 10.1111/apha.13643.	https://pubmed.ncbi.nlm.nih.gov/33660407/	
Synergistic efficacy and diminished adverse effect profile of composite treatment of several ADHD medications	2021	Neuropharmacology. 2021 Apr 1;187:108494. doi: 10.1016/j.neuropharm.2021.108494.	https://pubmed.ncbi.nlm.nih.gov/33587920/	Although attention-deficit/hyperactivity disorder (ADHD) is widely studied, problems regarding the adverse effect risks and non-responder problems still need to be addressed. Combination pharmacotherapy using standard dose regimens of existing medication is currently being practiced mainly to augment the therapeutic efficacy of each drug. The idea of combining different pharmacotherapies with different molecular targets to alleviate the symptoms of ADHD and its comorbidities requires scientific evidence, necessitating the investigation of their therapeutic efficacy and the mechanisms underlying the professed synergistic effects. Here, we injected male ICR mice with MK-801 to induce ADHD behavioral condition. We then modeled a "combined drug" using sub-optimal doses of methylphenidate, atomoxetine, and fluoxetine and investigated the combined treatment effects in MK-801-treated mice. No sub-optimal dose monotherapy alleviated ADHD behavioral condition in MK-801-treated mice. However, treatment with the combined drug attenuated the impaired behavior of MK-801-treated animals. Growth impediment, sleep disturbances, or risk of substance abuse were not observed in mice treated subchronically with the combined drugs. Finally, we observed that the combined ADHD drug rescued alterations in p-AKT and p-ERK1/2 levels in the prefrontal cortex and hippocampus, respectively, of MK-801-treated mice. Our results provide experimental evidence of a possible new pharmacotherapy option in ameliorating the ADHD behavioral condition without the expected adverse effects. The detailed mechanism of action underlying the synergistic therapeutic efficacy and reduced adverse reaction by combinatorial drug treatment should be investigated further in future studies.
Autism-Like Behavioral Phenotypes in Mice Treated with Systemic N-Methyl-D-Aspartate	2021	Biomol Ther (Seoul). 2021 Oct 27. doi: 10.4062/biomolther.2021.133.	https://pubmed.ncbi.nlm.nih.gov/34702791/	Autism spectrum disorder (ASD) having core characteristics of social interaction problems and repetitive behaviors and interests affects individuals at varying degrees and comorbidities, making it difficult to determine the precise etiology underlying the symptoms. Given its heterogeneity, ASD is difficult to treat and the development of therapeutics is slow due to the scarcity of animal models that are easy to produce and screen with. Based on the theory of excitation/inhibition imbalance in the brain with ASD which involves glutamatergic and/or GABAergic neurotransmission, a pharmacologic agent to modulate these receptors might be a good starting point for modeling. N-methyl-D-aspartic acid (NMDA) is an amino acid derivative acting as a specific agonist at the NMDA receptor and therefore imitates the action of the neurotransmitter glutamate on that receptor. In contrast to glutamate, NMDA selectively binds to and regulates the NMDA receptor, but not other glutamate receptors such as AMPA and kainite receptors. Given this role, we aimed to determine whether NMDA administration could result in autistic-like behavior in adolescent mice. Both male and female mice were treated with saline or NMDA (50 and 75 mg/kg) and were tested on various behavior experiments. Interestingly, acute NMDA-treated mice showed social deficits and repetitive behavior similar to ASD phenotypes. These results support the excitation/inhibition imbalance theory of ASD and that NMDA injection can be used as a pharmacologic model of ASD-like behaviors.
R (-)-methoxetamine exerts rapid and sustained antidepressant effects and fewer behavioral side effects relative to S (+)-methoxetamine	2021	Neuropharmacology. 2021 Aug 1;193:108619. doi: 10.1016/j.neuropharm.2021.108619.	https://pubmed.ncbi.nlm.nih.gov/34023336/	The newfound antidepressant efficacy of ketamine has provided opportunities for the development of new-generation, rapid-acting, glutamate-based antidepressants. We previously identified that methoxetamine (MXE), a ketamine analog, and an N-Methyl-d-aspartate (NMDA) receptor antagonist, produced rapid and sustained antidepressant effects in mice. MXE (R, S (±)-MXE) is a racemic mixture containing equal parts of S (+)-MXE and R (-)-MXE. However, studies have yet to investigate the antidepressant effects of its enantiomers. Here, we examined the potential antidepressant properties and behavioral side effects of S- and R-MXE in mice. Both S- and R-MXE showed significant NMDA receptor affinity and appreciable inhibitory activity on serotonin transporter. Also, S- and R-MXE (10 mg kg-1) exerted antidepressant effects and increased gamma waves (electroencephalography) but were inhibited by NBQX (an AMPA receptor antagonist). Subsequently, they increased mammalian target of rapamycin phosphorylation and AMPA receptor subunits GluA1 and GluA2 protein levels in the hippocampus or prefrontal cortex. Furthermore, they increased 5HT2a and 5HT2c receptor mRNA levels in the prefrontal cortex, with their antidepressant effects inhibited by ketanserin (a 5HT2a/c receptor antagonist). Taken together, S-MXE and R-MXE elicit antidepressant effects that are probably mediated via glutamatergic and serotonergic mechanisms. Unlike S-MXE, R-MXE did not induce prepulse inhibition deficits, hyperlocomotion, conditioned place preference, and locomotor sensitization, although it acutely altered motor coordination. This suggests that R-MXE induces fewer behavioral side effects and is a safer antidepressant than S-MXE. Overall, this study provides significant implications for future research on the next generation of rapid-acting, glutamate-based antidepressant drugs.
Catalpol and Mannitol, Two Components of Rehmannia glutinosa, Exhibit Anticonvulsant Effects Probably via GABA A Receptor Regulation	2020	Biomol Ther (Seoul). 2020 Mar 1;28(2):137-144. doi: 10.4062/biomolther.2019.130.	https://pubmed.ncbi.nlm.nih.gov/31739380/	Epilepsy is a brain disorder that affects millions of people worldwide and is usually managed using currently available antiepileptic drugs, which result in adverse effects and are ineffective in approximately 20-25% of patients. Thus, there is growing interest in the development of new antiepileptic drugs with fewer side effects. In a previous study, we showed that a Rehmannia glutinosa (RG) water extract has protective effects against electroshock- and pentylenetetrazol (PTZ)-induced seizures, with fewer side effects. In this study, the objective was to identify the RG components that are responsible for its anticonvulsant effects. Initially, a number of RG components (aucubin, acteoside, catalpol, and mannitol) were screened, and the anticonvulsant effects of different doses of catalpol, mannitol, and their combination on electroshock- and chemically (PTZ or strychnine)-induced seizures in mice, were further assessed. Gamma-aminobutyric acid (GABA) receptor binding assay and electroencephalography (EEG) analysis were conducted to identify the potential underlying drug mechanism. Additionally, treated mice were tested using open-field and rotarod tests. Catalpol, mannitol, and their combination increased threshold against electroshock-induced seizures, and decreased the percentage of seizure responses induced by PTZ, a GABA antagonist. GABA receptor binding assay results revealed that catalpol and mannitol are associated with GABA receptor activity, and EEG analysis provided evidence that catalpol and mannitol have anticonvulsant effects against PTZ-induced seizures. In summary, our results indicate that catalpol and mannitol have anticonvulsant properties, and may mediate the protective effects of RG against seizures.
A novel molecular mechanism responsible for phosphorylation-independent desensitization of G protein-coupled receptors exemplified by the dopamine D 3 receptor	2020	Biochem Biophys Res Commun. 2020 Jul 30;528(3):432-439. doi: 10.1016/j.bbrc.2020.05.197. 	https://pubmed.ncbi.nlm.nih.gov/32505358/	GRK-mediated receptor phosphorylation followed by association with β-arrestins has been proposed to be the molecular mechanism involved in the desensitization of G protein-coupled receptors (GPCRs). However, this mechanism does not explain the desensitization of some GPCRs, such as dopamine D3 receptor (D3R), which does not undergo GRK-mediated phosphorylation. Loss-of-function approaches and mutants of dopamine D2 receptor and D3R, which exhibit different desensitization properties, were used to identify the cellular components and processes responsible for desensitization. D3R mediated the recruitment of Mdm2 to the cytosol, which resulted in the constitutive ubiquitination of β-arrestin2 in the resting state. Under desensitization conditions, cytosolic Mdm2 returned to the nucleus, resulting in the deubiquitination of cytosolic β-arrestins. Deubiquitinated β-arrestins formed a tight complex with Gβγ, thereby sequestering it, causing interference in D3R signaling. In conclusion, this study shows that β-arrestins, depending on their ubiquitination status, control the G protein cycling by regulating their interactions with Gβγ. This is a novel mechanism proposed to explain how certain GPCRs can undergo desensitization without receptor phosphorylation.
Mdm2-mediated ubiquitination of β-arrestin2 in the nucleus occurs in a Gβγ- and clathrin-dependent manner	2020	Biochem Pharmacol. 2020 Aug;178:114049. doi: 10.1016/j.bcp.2020.114049.	https://pubmed.ncbi.nlm.nih.gov/32450252/	The fate and activity of β-arrestin2, a key player in the regulation of desensitization and endocytosis of G protein-coupled receptors (GPCRs), are regulated by mouse double minute 2 homolog (Mdm2)-mediated ubiquitination. However, details of the molecular mechanisms of β-arrestin2 ubiquitination remain unclear. Studies on β-arrestin2 and Mdm2 mutants with modified nucleocytoplasmic shuttling properties have revealed that β-arrestin2 ubiquitination occurs in the nucleus in a Gβγ- and clathrin-dependent manner. The nuclear entry of both β-arrestin2 and Mdm2 commonly relies on the presence of importin complex but can occur independently of each other. Gβγ and clathrin regulated the nuclear entry of β-arrestin2 by mediating the interaction between β-arrestin2 and importin β1. In contrast, Akt-mediated phosphorylation of two serine residues of Mdm2 partly regulated the nuclear entry of Mdm2. Ubiquitinated β-arrestin2 along with Mdm2 translocated to the cytoplasm where they play various functional roles including receptor endocytosis and ubiquitination of other cytoplasmic proteins. The nuclear export of Mdm2 required nuclear entry and interaction of β-arrestin2 with Mdm2. Ubiquitination was required for the translocation of β-arrestin2 toward activated receptors on the plasma membrane and for its endocytic activity. The current study revealed the cellular components and processes involved in the ubiquitination of β-arrestin2, and these findings could be quintessential for providing directions and detailed strategies for the manipulation of GPCR functions and development of GPCR-related therapeutics.
Sex-specific Behavioral Features of Rodent Models of Autism Spectrum Disorder	2018	Exp Neurobiol. 2018 Oct;27(5):321-343. doi: 10.5607/en.2018.27.5.321.	https://pubmed.ncbi.nlm.nih.gov/30429643/	Sex is an important factor in understanding the clinical presentation, management, and developmental trajectory of children with neuropsychiatric disorders. While much is known about the clinical and neurobehavioral profiles of males with neuropsychiatric disorders, surprisingly little is known about females in this respect. Animal models may provide detailed mechanistic information about sex differences in autism spectrum disorder (ASD) in terms of manifestation, disease progression, and development of therapeutic options. This review aims to widen our understanding of the role of sex in autism spectrum disorder, by summarizing and comparing behavioral characteristics of animal models. Our current understanding of how differences emerge in boys and girls with neuropsychiatric disorders is limited: Information derived from animal studies will stimulate future research on the role of biological maturation rates, sex hormones, sex-selective protective (or aggravating) factors and psychosocial factors, which are essential to devise sex precision medicine and to improve diagnostic accuracy. Moreover, there is a strong need of novel strategies to elucidate the major mechanisms leading to sex-specific autism features, as well as novel models or methods to examine these sex differences.
Modelling monogenic autism spectrum disorder using mouse cortical organoids	2020	Biochem Biophys Res Commun. 2020 Jan 1;521(1):164-171. doi: 10.1016/j.bbrc.2019.10.097.	https://pubmed.ncbi.nlm.nih.gov/31653345/	Variants of the contactin-associated protein-like 2 (CNTNAP2), which is a member of the neurexin family of proteins, function as cell adhesion molecules. The loss of CNTNAP2 function leads to autism spectrum disorder in humans and to autistic behaviours in mice. However, the functional effects of these mutations at the cellular level during fetal developmental periods remain elusive. Here, we studied mouse cortical organoids (mCOs) derived from Cntnap2-/- (knockout, KO) mouse induced pluripotent stem cells (miPSCs). Our results showed that KO mCOs displayed inhibitory-neuron-specific defects. At the neural progenitor stage, the GABAergic-neurogenesis-governing transcriptional network was dysregulated in the absence of Cntnap2. Our findings suggest that, in the early fetal cortical development, the cell adhesion molecule Cntnap2 plays a crucial role in the regulation of the differentiation of GABAergic neurons in the organoid platform. The reduced number of GABAergic neurons was efficiently restored in KO mCOs by treatment with the antiepileptic drug retigabine, showing the effectiveness of Cntnap2 KO mCOs in the therapeutic targeting of ASD.
Recapitulation of Neuropsychiatric Behavioral Features in Mice Using Acute Low-dose MK-801 Administration	2019	Exp Neurobiol. 2019 Dec 31;28(6):697-708. doi: 10.5607/en.2019.28.6.697.	https://pubmed.ncbi.nlm.nih.gov/31902157/	Despite some innate limitations, animal models are a potent investigative tool when used to model specific symptoms of a disorder. For example, MK-801, an N-methyl-D-aspartate receptor antagonist, is used as a pharmacological tool to induce symptoms found in some neuropsychiatric disorders. However, a close examination of literature suggests that the application window of MK-801 doses is relatively narrow between individual behavioral paradigms, necessitating careful characterization of the evoked behavioral aberrations and the doses used to induce them. Moreover, variation in behaviors depending on the animal strain, gender of the subject, and the timing of administration is observed, making it difficult to compare the behavioral characteristics reported in different studies. We aim to characterize the behavioral aberrations induced by different doses of MK-801 in CD-1 mice and create a ready reference for future studies. We used CD-1 mice to recapitulate behavioral impairments resulting from acute administration of MK-801. In 0.1 mg kg-1, we observed diminished spontaneous alteration during the Y-maze test, while 0.12 mg kg-1 resulted in hyperlocomotion and social deficit. Mice treated with 0.2 and 0.3 mg kg-1 of MK-801 demonstrated a decreased self-grooming. Finally, all doses significantly impaired cliff avoidance behaviors suggesting increased impulsivity. These results affirm that MK-801 can effectively model various symptoms of different neuropsychiatric disorders in a dose-dependent manner. The observed sensitivity against spatial-memory impairment and impulsive behaviors at low concentration of MK-801 suggest that MK801 may modulate cognitive function and impulsivity in even lower concentration before it can modulate other behavioral domains.
Comparative Behavioral Correlation of High and Low-Performing Mice in the Forced Swim Test	2019	Biomol Ther (Seoul). 2019 Jul 1;27(4):349-356. doi: 10.4062/biomolther.2018.210.	https://pubmed.ncbi.nlm.nih.gov/30630289/	Behavioral analysis in mice provided important contributions in helping understand and treat numerous neurobehavioral and neuropsychiatric disorders. The behavioral performance of animals and humans is widely different among individuals but the neurobehavioral mechanism of the innate difference is seldom investigated. Many neurologic conditions share comorbid symptoms that may have common pathophysiology and therapeutic strategy. The forced swim test (FST) has been commonly used to evaluate the "antidepressant" properties of drugs yet the individual difference analysis of this test was left scantly investigated along with the possible connection among other behavioral domains. This study conducted an FST-screening in outbred CD-1 male mice and segregated them into three groups: high performers (HP) or the active swimmers, middle performers (MP), and low performers (LP) or floaters. After which, a series of behavioral experiments were performed to measure their behavioral responses in the open field, elevated plus maze, Y maze, three-chamber social assay, novel object recognition, delay discounting task, and cliff avoidance reaction. The behavioral tests battery revealed that the three groups displayed seemingly correlated differences in locomotor activity and novel object recognition but not in other behaviors. This study suggests that the HP group in FST has higher locomotor activity and novelty-seeking tendencies compared to the other groups. These results may have important implications in creating behavior database in animal models that could be used for predicting interconnections of various behavioral domains, which eventually helps to understand the neurobiological mechanism controlling the behaviors in individual subjects.
Effects of Intraperitoneal N-methyl-D-aspartate (NMDA) Administration on Nociceptive/Repetitive Behaviors in Juvenile Mice	2019	Biomol Ther (Seoul). 2019 Mar 1;27(2):168-177. doi: 10.4062/biomolther.2018.230.	https://pubmed.ncbi.nlm.nih.gov/30580503/	Dysregulation of excitatory neurotransmission has been implicated in the pathogenesis of neuropsychiatric disorders. Pharmacological inhibition of N-methyl-D-aspartate (NMDA) receptors is widely used to model neurobehavioral pathologies and underlying mechanisms. There is ample evidence that overstimulation of NMDA-dependent neurotransmission may induce neurobehavioral abnormalities, such as repetitive behaviors and hypersensitization to nociception and cognitive disruption, pharmacological modeling using NMDA has been limited due to the induction of neurotoxicity and blood brain barrier breakdown, especially in young animals. In this study, we examined the effects of intraperitoneal NMDA-administration on nociceptive and repetitive behaviors in ICR mice. Intraperitoneal injection of NMDA induced repetitive grooming and tail biting/licking behaviors in a dose- and age-dependent manner. Nociceptive and repetitive behaviors were more prominent in juvenile mice than adult mice. We did not observe extensive blood brain barrier breakdown or neuronal cell death after peritoneal injection of NMDA, indicating limited neurotoxic effects despite a significant increase in NMDA concentration in the cerebrospinal fluid. These findings suggest that the observed behavioral changes were not mediated by general NMDA toxicity. In the hot plate test, we found that the latency of paw licking and jumping decreased in the NMDA-exposed mice especially in the 75 mg/kg group, suggesting increased nociceptive sensitivity in NMDA-treated animals. Repetitive behaviors and increased pain sensitivity are often comorbid in psychiatric disorders (e.g., autism spectrum disorder). Therefore, the behavioral characteristics of intraperitoneal NMDA-administered mice described herein may be valuable for studying the mechanisms underlying relevant disorders and screening candidate therapeutic molecules.
Pharmacological modulation of AMPA receptor rescues social impairments in animal models of autism	2019	Neuropsychopharmacology. 2019 Jan;44(2):314-323. doi: 10.1038/s41386-018-0098-5.	https://pubmed.ncbi.nlm.nih.gov/29899405/	Autism spectrum disorder (ASD) is a neurodevelopmental disorder, featuring social communication deficit and repetitive/restricted behaviors as common symptoms. Its prevalence has continuously increased, but, till now, there are no therapeutic approaches to relieve the core symptoms, particularly social deficit. In previous studies, abnormal function of the glutamatergic neural system has been proposed as a critical mediator and therapeutic target of ASD-associated symptoms. Here, we investigated the possible roles of α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptors (AMPARs) in autism symptoms using two well-known autistic animal models, Cntnap2 knockout (KO) mice and in utero valproic acid-exposed ICR (VPA) mice. We found that Cntnap2 KO mice displayed decreased glutamate receptor expression and transmission. Contrarily, VPA mice exhibited increased glutamate receptor expression and transmission. Next, we investigated whether AMPAR modulators (positive-allosteric-modulator for Cntnap2 KO mice and antagonist for VPA mice) can improve autistic symptoms by normalizing the aberrant excitatory transmission in the respective animal models. Interestingly, the AMPAR modulation specifically ameliorated social deficits in both animal models. These results indicated that AMPAR-derived excitatory neural transmission changes can affect normal social behavior. To validate this, we injected an AMPAR agonist or antagonist in control ICR mice and, interestingly, these treatments impaired only the social behavior, without affecting the repetitive and hyperactive behaviors. Collectively, these results provide insight into the role of AMPARs in the underlying pathophysiological mechanisms of ASD, and demonstrate that modulation of AMPAR can be a potential target for the treatment of social behavior deficits associated with ASD.
